image_path,class_label,source,split
data/external/development_dataset/raw/healthy/healthy_0010.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0017.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0038.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0034.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0024.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0031.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0049.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0048.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0001.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0004.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0037.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0032.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0026.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0027.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0039.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0017.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0036.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/healthy/healthy_0028.jpg,healthy,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0021.jpg,diseased,ayerr/plant-disease-classification,train
data/external/development_dataset/raw/diseased/diseased_0025.jpg,diseased,ayerr/plant-disease-classification,train
